"id","question_id","answer_id","value","created_at","updated_at"
"218","45","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"219","45","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"220","45","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"221","45","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"222","46","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"223","46","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"224","46","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"225","46","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"226","46","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"227","46","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"228","47","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"229","47","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"230","47","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"231","47","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"232","47","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"233","47","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"234","48","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"235","48","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"236","48","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"237","48","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"238","48","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"239","48","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"240","49","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"241","49","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"242","49","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"243","49","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"244","49","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"245","49","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"246","50","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"247","50","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"248","50","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"249","50","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"250","50","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"251","50","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"252","51","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
